#'chr'	'start'	'end'	'MED1_white'	'MED1_brite'
chr16	65115000	65120000	1.7338790798864634	1.294518886642456
chr16	65115000	65120000	1.7338790798864634	1.294518886642456
chr16	65120000	65125000	2.8529840482622664	1.9084037518310546
chr16	65120000	65125000	2.8529840482622664	1.9084037518310546
chr16	65120000	65125000	2.8529840482622664	1.9084037518310546
chr16	65120000	65125000	2.8529840482622664	1.9084037518310546
chr16	65120000	65125000	2.8529840482622664	1.9084037518310546
chr16	65120000	65125000	2.8529840482622664	1.9084037518310546
chr16	65120000	65125000	2.8529840482622664	1.9084037518310546
chr16	65120000	65125000	2.8529840482622664	1.9084037518310546
chr16	65310000	65315000	1.2915403327157562	1.0138589889526368
chr16	65310000	65315000	1.2915403327157562	1.0138589889526368
chr16	65545000	65550000	1.609107233635733	1.1345632778930663
chr16	65545000	65550000	1.609107233635733	1.1345632778930663
chr16	65545000	65550000	1.609107233635733	1.1345632778930663
chr16	65545000	65550000	1.609107233635733	1.1345632778930663
chr16	65570000	65575000	0.5760558162510953	0.6708499105834961
chr16	66025000	66030000	0.7736342741493867	0.5483798271179199
chr16	66025000	66030000	0.7736342741493867	0.5483798271179199
chr16	66035000	66040000	1.5818380891318635	0.8051299453735351
chr16	66035000	66040000	1.5818380891318635	0.8051299453735351
chr16	66080000	66085000	0.8415022368529133	1.0620248878479004
chr16	66080000	66085000	0.8415022368529133	1.0620248878479004
chr16	66080000	66085000	0.8415022368529133	1.0620248878479004
chr16	66090000	66095000	1.5656071081428884	0.8245238224029541
chr16	66090000	66095000	1.5656071081428884	0.8245238224029541
chr16	66090000	66095000	1.5656071081428884	0.8245238224029541
chr16	66130000	66135000	1.3318004582770517	0.7537509124755859
chr16	66130000	66135000	1.3318004582770517	0.7537509124755859
chr16	66130000	66135000	1.3318004582770517	0.7537509124755859
chr16	66145000	66150000	1.442979295505987	1.1571123298645019
chr16	66150000	66155000	1.7197880845684872	1.0879316596984863
chr16	66150000	66155000	1.7197880845684872	1.0879316596984863
chr16	66150000	66155000	1.7197880845684872	1.0879316596984863
chr16	66150000	66155000	1.7197880845684872	1.0879316596984863
chr16	66150000	66155000	1.7197880845684872	1.0879316596984863
chr16	66150000	66155000	1.7197880845684872	1.0879316596984863
chr16	66160000	66165000	0.6934476011472328	0.5226178382873535
chr16	66235000	66240000	1.0005365902909609	0.6748734672546387
chr16	66250000	66255000	1.0134652340327468	0.9638983428955078
chr16	66260000	66265000	0.660942312536507	0.718292297744751
chr16	66265000	66270000	1.025717180997189	0.931334273147583
chr16	66265000	66270000	1.025717180997189	0.931334273147583
chr16	66265000	66270000	1.025717180997189	0.931334273147583
chr16	66270000	66275000	1.426380819901796	1.0530518684387207
chr16	66270000	66275000	1.426380819901796	1.0530518684387207
