promoter_id	atac_logfc	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me3	H3K9me3	Inp
chr10:100329640:100331940	0.18325045394629927	0.4061922623984104	-0.5774717242977216	0.339955390334669	0.1875218732417075	0.1397241462522303	-0.0812556812779092	0.0942169483791344
chr10:100329672:100331972	0.18463780271329103	0.415668034858173	-0.5806001901935472	0.3553475751283512	0.2052852628042678	0.1344209421700253	-0.0950820248842223	0.0882721262998827
chr10:100329928:100332228	0.18749975756706172	0.4210448495143808	-0.5090475691642825	0.3712770401104551	0.1852867683158874	0.1227505186542591	-0.1017339556650246	0.0972261218605281
chr10:100329964:100332264	0.18788363392049712	0.4176335409695769	-0.5005099100529847	0.3621005109525967	0.1727963165886914	0.114894292543615	-0.0750760724285624	0.0882287936660736
chr10:100986896:100989196	0.23408135065744454	0.1118259560342446	0.1299874576015367	0.0176802311737205	0.4070642590233668	0.6887113059555068	0.0894135872746335	0.154589572974045
chr10:100986970:100989270	0.19946477964905623	0.0903683765541013	0.1325456917684563	0.0065625075300299	0.4097656470767106	0.6906687553311049	0.0774766229167251	0.1460625779985357
chr10:100986986:100989286	0.19158512773411673	0.0851456547121492	0.1345890179449997	0.0059037396019565	0.4075839122673328	0.6911363995753016	0.0769351566046097	0.1441513693134452
chr10:100987133:100989433	0.11148458812516886	0.05709021096125	0.1624531934706663	-0.0568636280312461	0.390235456525877	0.6952787234840316	0.0721588029982737	0.1822106259512108
chr10:100987156:100989456	0.09752062096268937	0.05530211475556	0.1636350079346627	-0.0835774737414405	0.390309145756976	0.6980208051452671	0.0681205616994095	0.1835077679700799
chr10:100987183:100989483	0.08055998058383376	0.0548844546397646	0.1625768431583697	-0.1252427718532832	0.3877461326563611	0.7048343534025976	0.0672713251561578	0.1850321619142215
chr10:100987194:100989494	0.07346592097454369	0.0547101553102363	0.1621487228544276	-0.1416914518714665	0.3867192734739477	0.7077428114998544	0.0669269555273727	0.1856537267753724
chr10:100987197:100989497	0.07151208710546986	0.0546621920481823	0.1620322603438167	-0.1461265918268611	0.3864409311948465	0.7085500377979861	0.0668331980539763	0.1858232963178904
chr10:100987213:100989513	0.060950221013130135	0.0545102468260175	0.1634952517147418	-0.1639554523519601	0.3812083016521611	0.7119241661281555	0.0642357922597438	0.1851733496773771
chr10:100987215:100989515	0.05961296523168616	0.0544940976898173	0.1637380716809215	-0.1659946818537466	0.3804501418465393	0.7123262674239352	0.0638509903328	0.1850473038810069
chr10:101782348:101784648	-0.16977545639117497	-0.2482399971616392	0.4251836931852818	0.3696118735604337	0.1534778673277753	0.3558979128410349	0.0004639280074632	0.0326580000576291
chr10:101783075:101785375	0.011485048502861838	-0.2026014370530532	0.4800931006292251	0.0468635877082698	0.2066565301075524	0.439127909451231	-0.1070304625776259	-0.0608009427075743
chr10:101783084:101785384	0.008355577404531666	-0.198784417209871	0.479241833653912	0.043523218839296	0.2062105992773648	0.4395451273338839	-0.1017770550307745	-0.0627351395985715
chr10:101783113:101785413	-0.0020578144590781547	-0.1857008320679427	0.4765175186958212	0.0291504043833662	0.2023797417703459	0.4412598820415677	-0.0924206217088896	-0.06746215999767
chr10:101827655:101829955	0.2150354382809182	0.6910436484814564	0.1795594112329818	0.0883380695147131	0.010753534171019	-0.1785439888697821	-0.0500211632676292	0.4150255587037311
chr10:101829247:101831547	0.013150896061063712	0.3591367853301405	-0.1038995800280464	0.6363970445951969	0.3946721280201435	0.6549146302621318	-0.120835111497389	0.3522900492471316
chr10:101830138:101832438	-0.06407077570092273	0.3545352659853358	-0.2352026792045725	0.2128932223626393	0.4631166394588379	0.752742484301073	-0.2028986672642587	0.212309295372092
chr10:101834069:101836369	0.4296862559657057	0.7747274485774798	-0.1836760964350049	0.3113187249941124	0.4677612980962157	0.2162749058533899	0.1978118554700522	0.2151038311973236
chr10:101839572:101841872	-0.09622261814981128	0.9048856024063304	-0.049598549040746	0.0228187825937354	0.0018524104662792	2.246214542288936	-0.0376794940214956	-0.2012347197765126
chr10:101843268:101845568	0.7076171624156287	1.1070723605527155	-0.5010285667260844	0.0719297133497188	0.2051733707636002	1.9200210619604048	-0.5791355270977587	0.0101468324683018
chr10:101843469:101845769	0.6723794206932986	1.1792567460692815	-0.5995257197453214	-0.0826704053548435	0.3627881140593156	1.7934279215252666	-0.4827094814406093	0.0528579360612206
chr10:101843544:101845844	0.7130024453511586	1.213980219655456	-0.6063333851092886	-0.1502926387094404	0.4127483378538225	1.6406790225481076	-0.4964620869448365	0.0595221595628983
chr10:101843620:101845920	0.7707728650971376	1.2478230798506578	-0.6154922165804958	-0.2428489641531739	0.4245380394747097	1.4855848304348858	-0.4811485536532249	0.0730972431593487
chr10:102405162:102407462	-0.2383832387195466	-0.0898503972082816	-0.2966203906319789	-0.0086703538119326	0.1153954895449583	-0.0695809431900256	-0.0560739244280105	-0.0267313281160347
chr10:102405834:102408134	-0.21203108028338943	0.1041432328427759	-0.2995697825301783	0.2215159176763246	0.1044312551135245	-0.2648541282938258	-0.0402990069593851	-0.1106368943601223
chr10:102408990:102411290	0.29806134227768305	0.2431827298200637	-0.2125228611591448	-0.0858708890464012	-0.1356355998292768	0.6839286071511969	-0.5572272102876392	-0.115695681088676
chr10:102411456:102413756	0.0583239365104367	-0.2086221123180201	-0.4064716044988063	-0.1307265942920653	-0.0309253975526882	-0.3868986703934554	-0.0848525271989406	0.2850404646247875
chr10:102417188:102419488	0.07584817433512128	-0.2196432835340074	-0.1956285829353249	0.0328206968601438	0.0012927293265829	0.0841183677499223	0.1871286314121563	0.1545219385534296
chr10:102417232:102419532	0.06559012065332125	-0.2317297853995139	-0.2021169694232234	0.0279783637658204	0.0034357211704475	0.1231220835744173	0.1769458340102017	0.139552075015492
